Transaction_ID,Date,Region,Department,Category,Revenue,COGS,Operational_Exp,Net_Profit,Profit_Margin_%
TRX-1001,01-July-2025,North America,Sales,Enterprise Software,25000,12000.0,3000.0,10000.0,0.4
TRX-1002,01-July-2025,EMEA,IT,Hardware,8500,6000.0,500.0,2000.0,0.235
TRX-1003,02-July-2025,APAC,Services,Consulting,15000,5000.0,2000.0,8000.0,0.533
TRX-1004,03-July-2025,North America,Sales,Cloud Services,12000,8000.0,1000.0,3000.0,0.25
TRX-1005,03-July-2025,LATAM,Marketing,Ad Spend,4500,2000.0,500.0,2000.0,0.444
TRX-1006,04-July-2025,North America,IT,Hardware,32000,25000.0,2000.0,5000.0,0.156
TRX-1007,05-July-2025,EMEA,Sales,Enterprise Software,18500,9000.0,2500.0,7000.0,0.378
TRX-1008,06-July-2025,APAC,IT,Cloud Services,9800,6500.0,800.0,2500.0,0.255
TRX-1009,07-July-2025,North America,Services,Consulting,22000,8000.0,3000.0,11000.0,0.5
TRX-1010,08-July-2025,EMEA,Sales,Consumer Software,5600,2000.0,600.0,3000.0,0.536
TRX-1011,09-July-2025,LATAM,IT,Hardware,11200,8500.0,1000.0,1700.0,0.152
TRX-1012,10-July-2025,North America,Marketing,Events,15000,10000.0,2000.0,3000.0,0.2
TRX-1013,10-July-2025,APAC,Sales,Enterprise Software,21000,11000.0,2500.0,7500.0,0.357
TRX-1014,11-July-2025,EMEA,Services,Support,6700,3000.0,700.0,3000.0,0.448
TRX-1015,12-July-2025,North America,IT,Cloud Services,45000,30000.0,4000.0,11000.0,0.244
TRX-1016,13-July-2025,LATAM,Sales,Consumer Software,3400,1200.0,400.0,1800.0,0.529
TRX-1017,14-July-2025,APAC,IT,Hardware,14500,11000.0,1000.0,2500.0,0.172
TRX-1018,15-July-2025,North America,Sales,Enterprise Software,28000,14000.0,3500.0,10500.0,0.375
TRX-1019,16-July-2025,EMEA,Marketing,Ad Spend,9200,4000.0,1200.0,4000.0,0.435
TRX-1020,17-July-2025,North America,Services,Consulting,31000,12000.0,4000.0,15000.0,0.484
TRX-1021,18-July-2025,APAC,Sales,Cloud Services,13500,9000.0,1500.0,3000.0,0.222
TRX-1022,19-July-2025,EMEA,IT,Hardware,7800,5500.0,800.0,1500.0,0.192
TRX-1023,20-July-2025,North America,Sales,Enterprise Software,26500,13000.0,3000.0,10500.0,0.396
TRX-1024,21-July-2025,LATAM,Services,Support,4200,2000.0,500.0,1700.0,0.405
TRX-1025,22-July-2025,APAC,Marketing,Events,8900,6000.0,1000.0,1900.0,0.213
TRX-1026,23-July-2025,North America,IT,Cloud Services,38000,26000.0,3000.0,9000.0,0.237
TRX-1027,24-July-2025,EMEA,Sales,Consumer Software,6100,2200.0,700.0,3200.0,0.525
TRX-1028,25-July-2025,North America,Services,Consulting,24500,9000.0,3500.0,12000.0,0.49
TRX-1029,26-July-2025,APAC,IT,Hardware,16200,12500.0,1200.0,2500.0,0.154
TRX-1030,27-July-2025,LATAM,Sales,Enterprise Software,19000,10000.0,2000.0,7000.0,0.368
TRX-1031,28-July-2025,North America,Marketing,Ad Spend,12500,6000.0,1500.0,5000.0,0.4
TRX-1032,29-July-2025,EMEA,Sales,Cloud Services,14200,9500.0,1700.0,3000.0,0.211
TRX-1033,30-July-2025,APAC,Services,Support,5800,2500.0,800.0,2500.0,0.431
TRX-1034,31-July-2025,North America,IT,Hardware,29000,22000.0,2500.0,4500.0,0.155
TRX-1035,01-August-2025,North America,Sales,Enterprise Software,25500,12500.0,3000.0,10000.0,0.392
TRX-1036,02-August-2025,EMEA,IT,Cloud Services,11500,7800.0,1200.0,2500.0,0.217
TRX-1037,03-August-2025,APAC,Marketing,Ad Spend,7200,3000.0,1000.0,3200.0,0.444
TRX-1038,04-August-2025,LATAM,Sales,Consumer Software,3800,1400.0,500.0,1900.0,0.5
TRX-1039,05-August-2025,North America,Services,Consulting,27000,10000.0,4000.0,13000.0,0.481
TRX-1040,06-August-2025,EMEA,IT,Hardware,9500,7000.0,1000.0,1500.0,0.158
TRX-1041,07-August-2025,APAC,Sales,Enterprise Software,22500,11500.0,2800.0,8200.0,0.364
TRX-1042,08-August-2025,North America,Marketing,Events,18000,12000.0,2500.0,3500.0,0.194
TRX-1043,09-August-2025,LATAM,Services,Support,4600,2200.0,600.0,1800.0,0.391
TRX-1044,10-August-2025,North America,IT,Cloud Services,41000,28000.0,3500.0,9500.0,0.232
TRX-1045,11-August-2025,EMEA,Sales,Enterprise Software,19800,9800.0,2600.0,7400.0,0.374
TRX-1046,12-August-2025,APAC,IT,Hardware,15800,12000.0,1300.0,2500.0,0.158
TRX-1047,13-August-2025,North America,Services,Consulting,23500,8500.0,3200.0,11800.0,0.502
TRX-1048,14-August-2025,EMEA,Marketing,Ad Spend,8800,3800.0,1000.0,4000.0,0.455
TRX-1049,15-August-2025,LATAM,Sales,Cloud Services,10500,7500.0,1000.0,2000.0,0.19
TRX-1050,16-August-2025,North America,IT,Hardware,30500,24000.0,2500.0,4000.0,0.131
TRX-1051,17-August-2025,APAC,Sales,Consumer Software,5200,1900.0,600.0,2700.0,0.519
TRX-1052,18-August-2025,North America,Services,Support,7500,3000.0,1000.0,3500.0,0.467
TRX-1053,19-August-2025,EMEA,IT,Cloud Services,12800,8800.0,1500.0,2500.0,0.195
TRX-1054,20-August-2025,LATAM,Marketing,Events,6500,4500.0,800.0,1200.0,0.185
TRX-1055,21-August-2025,North America,Sales,Enterprise Software,27500,13500.0,3200.0,10800.0,0.393
TRX-1056,22-August-2025,APAC,Services,Consulting,16500,5500.0,2200.0,8800.0,0.533
TRX-1057,23-August-2025,EMEA,Sales,Hardware,8200,6000.0,800.0,1400.0,0.171
TRX-1058,24-August-2025,North America,IT,Cloud Services,39500,27000.0,3200.0,9300.0,0.235
TRX-1059,25-August-2025,LATAM,Sales,Enterprise Software,18200,9500.0,1800.0,6900.0,0.379
TRX-1060,26-August-2025,North America,Marketing,Ad Spend,13800,6500.0,1800.0,5500.0,0.399
TRX-1061,27-August-2025,EMEA,Services,Support,6900,3100.0,800.0,3000.0,0.435
TRX-1062,28-August-2025,APAC,IT,Hardware,15200,11500.0,1200.0,2500.0,0.164
TRX-1063,29-August-2025,North America,Sales,Consumer Software,7800,2800.0,1000.0,4000.0,0.513
TRX-1064,30-August-2025,EMEA,IT,Cloud Services,13200,9000.0,1600.0,2600.0,0.197
TRX-1065,01-September-2025,North America,Sales,Enterprise Software,29000,14500.0,3500.0,11000.0,0.379
TRX-1066,02-September-2025,APAC,Marketing,Events,9500,6500.0,1200.0,1800.0,0.189
TRX-1067,03-September-2025,LATAM,Services,Consulting,12000,4500.0,1500.0,6000.0,0.5
TRX-1068,04-September-2025,North America,IT,Hardware,33500,26000.0,3000.0,4500.0,0.134
TRX-1069,05-September-2025,EMEA,Sales,Enterprise Software,20500,10500.0,2800.0,7200.0,0.351
TRX-1070,06-September-2025,APAC,IT,Cloud Services,10200,7000.0,1000.0,2200.0,0.216
TRX-1071,07-September-2025,North America,Services,Support,8200,3500.0,1200.0,3500.0,0.427
TRX-1072,08-September-2025,LATAM,Sales,Hardware,9800,7500.0,800.0,1500.0,0.153
TRX-1073,09-September-2025,North America,Marketing,Ad Spend,14500,7000.0,2000.0,5500.0,0.379
TRX-1074,10-September-2025,EMEA,Services,Consulting,19500,7500.0,2500.0,9500.0,0.487
TRX-1075,11-September-2025,APAC,Sales,Consumer Software,5500,2000.0,700.0,2800.0,0.509
TRX-1076,12-September-2025,North America,IT,Cloud Services,43000,29500.0,3800.0,9700.0,0.226
TRX-1077,13-September-2025,LATAM,Marketing,Ad Spend,5200,2200.0,600.0,2400.0,0.462
TRX-1078,14-September-2025,North America,Sales,Enterprise Software,26000,13000.0,3100.0,9900.0,0.381
TRX-1079,15-September-2025,EMEA,IT,Hardware,8900,6800.0,900.0,1200.0,0.135
TRX-1080,16-September-2025,APAC,Services,Support,6200,2800.0,900.0,2500.0,0.403
TRX-1081,17-September-2025,North America,Marketing,Events,16500,,,,
